"name","pname","version","patches","system","out","outputs","store_path","cpe","purl","urls"
"iana-etc-20250505","iana-etc","20250505","","x86_64-linux","/nix/store/mih50m019amm7my9041wp9vjjyzc41lg-iana-etc-20250505","['/nix/store/mih50m019amm7my9041wp9vjjyzc41lg-iana-etc-20250505']","/nix/store/55cb7nz0d99i7xcm6yk0m2azrw3ijhqa-iana-etc-20250505.drv","cpe:2.3:a:iana-etc:iana-etc:20250505:*:*:*:*:*:*:*","pkg:nix/iana-etc@20250505",""
"mailcap-2.1.54","mailcap","2.1.54","","x86_64-linux","/nix/store/7mbancpp4llb2jhnxiwipp9qb8nm31yz-mailcap-2.1.54","['/nix/store/7mbancpp4llb2jhnxiwipp9qb8nm31yz-mailcap-2.1.54']","/nix/store/s0wl2gj84gdfsgx6lryacnnz2fhh19w6-mailcap-2.1.54.drv","cpe:2.3:a:mailcap:mailcap:2.1.54:*:*:*:*:*:*:*","pkg:nix/mailcap@2.1.54",""
"microseg-agent-0.1.0","microseg-agent","0.1.0","","x86_64-linux","/nix/store/50yazk9ycmikckpjnhsfyf80wna50d2z-microseg-agent-0.1.0","['/nix/store/50yazk9ycmikckpjnhsfyf80wna50d2z-microseg-agent-0.1.0']","/nix/store/d4fp0ynxigxb5ifwwj7gpl46l6pfbg2i-microseg-agent-0.1.0.drv","cpe:2.3:a:microseg-agent:microseg-agent:0.1.0:*:*:*:*:*:*:*","pkg:nix/microseg-agent@0.1.0",""
"tzdata-2026a","tzdata","2026a","","x86_64-linux","/nix/store/k50yfm9fm62s4h9c1shs0dwwl4y28a78-tzdata-2026a","['/nix/store/k50yfm9fm62s4h9c1shs0dwwl4y28a78-tzdata-2026a']","/nix/store/74b7nl7s8xa8a4ipi318lj3jrj9avbcb-tzdata-2026a.drv","cpe:2.3:a:tzdata:tzdata:2026a:*:*:*:*:*:*:*","pkg:nix/tzdata@2026a",""
